,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit1,lstm_unit2,Objective
0,1,INTERMEDIATE,1,256.0,290.0,352.0,0.003553155143434561,123.0,62.0,0.9161044722018035
1,1,COMPLETED,1,256.0,290.0,352.0,0.003553155143434561,123.0,62.0,0.9161044722018035
2,2,INTERMEDIATE,1,64.0,296.0,499.0,0.004852417486434266,109.0,184.0,0.9136222238126008
3,2,COMPLETED,1,64.0,296.0,499.0,0.004852417486434266,109.0,184.0,0.9136222238126008
4,3,INTERMEDIATE,1,128.0,492.0,352.0,0.0023078089547102277,47.0,201.0,1.0142917684886767
5,3,COMPLETED,1,128.0,492.0,352.0,0.0023078089547102277,47.0,201.0,1.0142917684886767
6,4,INTERMEDIATE,1,128.0,476.0,476.0,0.0024729386409914943,187.0,119.0,0.936309788538062
7,4,COMPLETED,1,128.0,476.0,476.0,0.0024729386409914943,187.0,119.0,0.936309788538062
8,5,INTERMEDIATE,1,128.0,299.0,486.0,0.0021567814747108023,60.0,241.0,0.9806476105814395
9,5,COMPLETED,1,128.0,299.0,486.0,0.0021567814747108023,60.0,241.0,0.9806476105814395
10,6,INTERMEDIATE,1,128.0,280.0,456.0,0.0027874173000829853,220.0,72.0,0.9022964005884917
11,6,COMPLETED,1,128.0,280.0,456.0,0.0027874173000829853,220.0,72.0,0.9022964005884917
12,7,INTERMEDIATE,1,256.0,412.0,436.0,0.0019279743155883242,129.0,194.0,0.9182050798250281
13,7,COMPLETED,1,256.0,412.0,436.0,0.0019279743155883242,129.0,194.0,0.9182050798250281
14,8,INTERMEDIATE,1,256.0,285.0,472.0,0.004182917343200491,220.0,68.0,0.8936647928279379
15,8,COMPLETED,1,256.0,285.0,472.0,0.004182917343200491,220.0,68.0,0.8936647928279379
16,9,INTERMEDIATE,1,128.0,412.0,441.0,0.0038131612828912476,147.0,186.0,0.9365121851796689
17,9,COMPLETED,1,128.0,412.0,441.0,0.0038131612828912476,147.0,186.0,0.9365121851796689
18,10,INTERMEDIATE,1,256.0,310.0,495.0,0.0020824537210185103,115.0,183.0,0.8705829122792119
19,10,COMPLETED,1,256.0,310.0,495.0,0.0020824537210185103,115.0,183.0,0.8705829122792119
20,11,INTERMEDIATE,1,128.0,286.0,491.0,0.0019386145999068932,236.0,53.0,0.9787271592928015
21,11,COMPLETED,1,128.0,286.0,491.0,0.0019386145999068932,236.0,53.0,0.9787271592928015
22,12,INTERMEDIATE,1,256.0,292.0,479.0,0.002548236550538311,238.0,40.0,0.924417609753816
23,12,COMPLETED,1,256.0,292.0,479.0,0.002548236550538311,238.0,40.0,0.924417609753816
24,13,INTERMEDIATE,1,64.0,326.0,490.0,0.0005676956547078517,123.0,186.0,0.9680235696875531
25,13,COMPLETED,1,64.0,326.0,490.0,0.0005676956547078517,123.0,186.0,0.9680235696875531
